Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
Bayern Munich,7.06,11.0,20.9,13.5,15.1,3.7,7.06,0.36,0.28,0.36,0.25,0.46,0.29,Bundesliga,2009
Werder Bremen,7.06,10.5,20.5,17.1,16.4,4.0,7.06,0.39,0.26,0.34,0.24,0.45,0.31,Bundesliga,2009
Bayer Leverkusen,6.99,8.3,21.4,17.6,16.4,2.7,6.99,0.32,0.32,0.36,0.24,0.49,0.28,Bundesliga,2009
Borussia Dortmund,6.98,11.8,27.2,21.0,16.0,3.0,6.98,0.34,0.31,0.35,0.26,0.47,0.27,Bundesliga,2009
Wolfsburg,6.95,17.4,22.8,13.1,15.6,3.9,6.95,0.37,0.26,0.37,0.28,0.44,0.28,Bundesliga,2009
Schalke 04,6.95,10.6,21.9,14.7,21.0,2.6,6.95,0.33,0.26,0.41,0.24,0.47,0.3,Bundesliga,2009
Hamburger SV,6.88,12.6,20.3,15.5,18.3,3.7,6.88,0.4,0.24,0.36,0.27,0.47,0.27,Bundesliga,2009
VfB Stuttgart,6.87,12.0,18.6,15.9,16.4,2.5,6.87,0.38,0.29,0.33,0.27,0.46,0.27,Bundesliga,2009
Hoffenheim,6.83,10.5,23.4,19.5,18.4,3.5,6.83,0.38,0.25,0.38,0.24,0.47,0.3,Bundesliga,2009
Mainz 05,6.8,14.4,22.1,20.2,17.5,3.4,6.8,0.34,0.29,0.37,0.3,0.44,0.24,Bundesliga,2009
Hertha Berlin,6.79,13.6,22.1,16.4,14.0,2.9,6.79,0.36,0.28,0.36,0.28,0.46,0.26,Bundesliga,2009
Eintracht Frankfurt,6.77,13.6,19.4,16.1,17.8,2.9,6.77,0.37,0.28,0.35,0.27,0.47,0.25,Bundesliga,2009
Borussia M.Gladbach,6.74,16.9,22.6,15.7,16.7,3.4,6.74,0.37,0.27,0.36,0.29,0.46,0.24,Bundesliga,2009
Nuernberg,6.74,13.5,22.3,15.2,15.5,3.2,6.74,0.37,0.26,0.37,0.28,0.45,0.27,Bundesliga,2009
FC Koln,6.73,13.8,19.1,18.0,17.3,2.9,6.73,0.38,0.28,0.34,0.31,0.47,0.23,Bundesliga,2009
Freiburg,6.68,14.9,19.9,11.8,18.0,3.5,6.68,0.38,0.27,0.34,0.28,0.44,0.28,Bundesliga,2009
Hannover 96,6.68,12.8,20.1,17.5,18.1,2.4,6.68,0.35,0.26,0.39,0.29,0.46,0.26,Bundesliga,2009
Bochum,6.65,15.8,21.5,15.9,17.0,2.3,6.65,0.35,0.26,0.4,0.28,0.46,0.26,Bundesliga,2009
