R,Team,Left Side,Attempts from the middle,Right Side
1,Nuernberg,29%,51%,20%
2,Hamburger SV,24%,58%,18%
3,VfB Stuttgart,23%,57%,20%
4,Werder Bremen,23%,60%,17%
5,FC Koln,23%,58%,19%
6,Mainz 05,22%,56%,23%
7,Kaiserslautern,21%,59%,20%
8,Borussia M.Gladbach,21%,57%,22%
9,Hoffenheim,21%,59%,21%
10,Wolfsburg,20%,66%,13%
11,St. Pauli,20%,60%,20%
12,Bayern Munich,18%,67%,16%
13,Hannover 96,18%,56%,26%
14,Bayer Leverkusen,17%,62%,22%
15,Borussia Dortmund,17%,69%,14%
16,Freiburg,17%,66%,17%
17,Schalke 04,16%,71%,13%
18,Eintracht Frankfurt,13%,72%,15%
