R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,FC Koln,41,8,16,9,1
2,Hertha Berlin,37,4,15,5,3
3,Wolfsburg,33,8,16,3,0
4,Nuernberg,33,5,5,6,0
5,Kaiserslautern,32,9,9,3,1
6,Freiburg,32,10,15,3,1
7,Bayer Leverkusen,27,5,8,1,3
8,Hamburger SV,27,4,21,5,0
9,Hannover 96,27,4,12,2,0
10,Werder Bremen,27,11,16,3,1
11,Augsburg,26,1,18,4,0
12,Hoffenheim,26,5,10,6,0
13,Mainz 05,24,6,13,3,5
14,VfB Stuttgart,21,4,14,7,0
15,Schalke 04,17,5,16,5,1
16,Borussia Dortmund,16,1,7,0,1
17,Bayern Munich,14,2,4,1,1
18,Borussia M.Gladbach,12,1,11,0,0
