R,Team,Left Side,Middle of the pitch,Right Side
1,Bayern Munich,40%,26%,34%
2,Hamburger SV,40%,27%,33%
3,Werder Bremen,40%,26%,34%
4,Borussia M.Gladbach,38%,26%,36%
5,Augsburg,38%,28%,34%
6,FC Koln,38%,25%,37%
7,Nuernberg,37%,24%,39%
8,Hoffenheim,37%,26%,38%
9,Wolfsburg,36%,25%,39%
10,VfB Stuttgart,36%,26%,38%
11,Kaiserslautern,36%,25%,39%
12,Hertha Berlin,36%,27%,37%
13,Mainz 05,36%,29%,35%
14,Borussia Dortmund,35%,32%,34%
15,Schalke 04,34%,26%,41%
16,Hannover 96,34%,20%,45%
17,Bayer Leverkusen,33%,31%,36%
18,Freiburg,33%,28%,39%
