R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Wolfsburg,9%,48%,43%
2,VfB Stuttgart,9%,51%,40%
3,Hannover 96,9%,54%,38%
4,Bayern Munich,8%,58%,33%
5,Greuther Fuerth,7%,49%,44%
6,Borussia Dortmund,7%,56%,37%
7,Freiburg,7%,52%,42%
8,Fortuna Duesseldorf,7%,48%,46%
9,Borussia M.Gladbach,7%,47%,46%
10,Bayer Leverkusen,6%,56%,38%
11,Eintracht Frankfurt,6%,51%,43%
12,Mainz 05,6%,46%,48%
13,Hamburger SV,5%,50%,44%
14,Schalke 04,5%,58%,37%
15,Werder Bremen,5%,54%,41%
16,Hoffenheim,5%,47%,47%
17,Augsburg,4%,49%,47%
18,Nuernberg,3%,54%,43%
