R,Team,Fouls,Unprofessional,Dive,Other
1,Hoffenheim,69,2,1,8
2,Greuther Fuerth,67,3,2,12
3,Fortuna Duesseldorf,66,2,0,13
4,Augsburg,62,1,2,5
5,Mainz 05,62,2,2,9
6,VfB Stuttgart,61,4,3,13
7,Wolfsburg,57,0,0,7
8,Hannover 96,57,5,1,19
9,Nuernberg,57,6,0,8
10,Eintracht Frankfurt,55,1,1,9
11,Bayer Leverkusen,53,0,0,10
12,Schalke 04,50,2,0,7
13,Hamburger SV,49,3,2,18
14,Werder Bremen,49,1,2,13
15,Borussia M.Gladbach,46,2,1,9
16,Freiburg,43,1,1,15
17,Borussia Dortmund,34,0,0,12
18,Bayern Munich,30,2,1,4
