R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,64,9,17,4,4
2,Borussia Dortmund,53,9,14,5,0
3,Bayer Leverkusen,39,10,12,4,0
4,Hannover 96,33,6,14,6,1
5,Schalke 04,32,11,11,2,2
6,Werder Bremen,30,5,9,5,1
7,Eintracht Frankfurt,30,4,9,3,3
8,Mainz 05,29,4,5,4,0
9,Wolfsburg,27,3,13,3,1
10,Freiburg,26,5,9,4,1
11,Hoffenheim,26,8,2,5,1
12,Hamburger SV,25,6,9,2,0
13,Borussia M.Gladbach,21,3,16,4,1
14,Fortuna Duesseldorf,19,4,10,3,3
15,Augsburg,19,4,9,0,1
16,VfB Stuttgart,18,3,7,5,4
17,Greuther Fuerth,15,2,6,1,2
18,Nuernberg,11,7,18,3,0
