R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Wolfsburg,9%,56%,36%
2,Eintracht Braunschweig,8%,52%,41%
3,Hamburger SV,7%,52%,41%
4,Werder Bremen,7%,50%,43%
5,Nuernberg,7%,50%,43%
6,Hoffenheim,7%,54%,39%
7,Bayern Munich,6%,51%,43%
8,VfB Stuttgart,6%,57%,38%
9,Freiburg,6%,48%,46%
10,Borussia Dortmund,6%,51%,43%
11,Eintracht Frankfurt,6%,53%,41%
12,Borussia M.Gladbach,5%,51%,45%
13,Hertha Berlin,5%,52%,42%
14,Augsburg,5%,54%,42%
15,Mainz 05,5%,51%,43%
16,Bayer Leverkusen,4%,48%,48%
17,Schalke 04,4%,51%,44%
18,Hannover 96,4%,53%,43%
