Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,8.9,16.6,9.5,12,1.9,7.42
2. Borussia Dortmund,9.8,23.6,16.4,13.6,3.1,7.23
3. Borussia M.Gladbach,15.6,17.8,15.8,10.6,1.9,7.09
4. Bayer Leverkusen,13.4,19,13.4,15.1,2.4,7.07
5. Schalke 04,13.4,19.9,16.6,16.3,2.3,7.06
6. Wolfsburg,11.3,21,15,16.1,2.1,7.05
7. Mainz 05,15,21.4,16.2,14.6,3.4,7.00
8. Hoffenheim,12.9,25,16.1,19.4,3.2,6.96
9. Hamburger SV,15.1,21.3,15.3,15.9,1.7,6.95
10. Werder Bremen,16.6,24.4,16,16.2,2.4,6.90
11. Hertha Berlin,10.9,23.2,14.2,16.3,2.1,6.89
12. Nuernberg,17.6,21.4,12.8,15.4,2.5,6.89
13. Eintracht Frankfurt,14,18.9,14.2,16.4,2.7,6.88
14. Augsburg,12.3,21.1,12.6,15.3,2.3,6.88
15. Hannover 96,13.9,18.7,14,17.4,1.5,6.85
16. VfB Stuttgart,13.7,21.3,16.9,14.9,2.4,6.82
17. Freiburg,16.1,20.4,14.3,15.1,2.3,6.80
18. Eintracht Braunschweig,16.2,22,12.4,16.4,3,6.74
