Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,94,18.7,452,66.2,88.3,20.4,7.42
2. Borussia Dortmund,80,18.1,432,52.3,77.8,30.1,7.23
3. Borussia M.Gladbach,59,12.6,503,54.0,83.8,23.6,7.09
4. Bayer Leverkusen,60,14.6,692,50.3,78.5,33,7.07
5. Schalke 04,63,14.1,535,50.4,78.5,30.2,7.06
6. Wolfsburg,63,15.4,548,52.3,78.9,29.4,7.05
7. Mainz 05,50,13.1,534,47.9,77.2,30.6,7.00
8. Hoffenheim,72,14.7,632,48.5,74.2,27.3,6.96
9. Hamburger SV,51,14.9,542,49.3,76.6,32.5,6.95
10. Werder Bremen,42,10.9,733,44.0,69.0,34.5,6.90
11. Hertha Berlin,40,11.3,561,47.4,75.1,30.5,6.89
12. Nuernberg,37,11.6,724,49.0,76.2,29.3,6.89
13. Eintracht Frankfurt,40,12.7,752,50.3,77.6,30.1,6.88
14. Augsburg,47,15.2,611,48.7,77.0,27.4,6.88
15. Hannover 96,46,13.8,716,48.5,75.2,31.8,6.85
16. VfB Stuttgart,49,12,615,48.3,75.2,27.9,6.82
17. Freiburg,44,11,624,48.8,76.0,24.2,6.80
18. Eintracht Braunschweig,29,12,622,43.9,69.6,29.8,6.74
