Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,17.2,6.9,15.9,13.3,7.20
2. Wolfsburg,15.3,6.1,13.9,13.2,7.14
3. Bayer Leverkusen,16.3,5.7,14.1,15.1,7.12
4. Borussia M.Gladbach,12.6,5.1,13.1,13.1,7.08
5. Hoffenheim,14.8,5,12.1,17.2,6.95
6. Schalke 04,12.4,4.5,13.4,14.2,6.92
7. Borussia Dortmund,16.7,5.6,11.7,12.6,6.92
8. Augsburg,13.5,4.4,10.9,15.6,6.90
9. Eintracht Frankfurt,12.6,5.1,9.8,17,6.88
10. Mainz 05,12.9,4.3,11.7,15.3,6.87
11. Werder Bremen,12.2,5,9.5,14.7,6.83
12. FC Koln,10.8,3.7,10.3,12.2,6.83
13. Hamburger SV,10.8,3.3,10,14.4,6.80
14. Freiburg,11.4,4.6,12.3,14.1,6.79
15. Paderborn,13.4,4.1,13.3,16.1,6.79
16. Hannover 96,11.3,4.2,10.1,14.5,6.78
17. VfB Stuttgart,12.1,4.1,11.7,14.9,6.77
18. Hertha Berlin,8.8,3.2,10.5,15.3,6.75
