R,Team,Left Side,Attempts from the middle,Right Side
1,Bayern Munich,22%,63%,16%
2,Wolfsburg,21%,64%,14%
3,FC Koln,21%,64%,15%
4,Bayer Leverkusen,20%,65%,15%
5,Borussia Dortmund,20%,62%,19%
6,Mainz 05,20%,62%,18%
7,RB Leipzig,20%,63%,17%
8,Ingolstadt,19%,65%,15%
9,Hamburger SV,18%,67%,15%
10,Augsburg,18%,68%,14%
11,Eintracht Frankfurt,17%,65%,17%
12,Freiburg,17%,63%,19%
13,Hertha Berlin,17%,66%,18%
14,Schalke 04,16%,67%,17%
15,Darmstadt,16%,71%,14%
16,Werder Bremen,15%,66%,19%
17,Borussia M.Gladbach,15%,69%,15%
18,Hoffenheim,15%,67%,18%
