R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Augsburg,13,0,68,473
2,Darmstadt,16,0,64,471
3,FC Koln,16,0,69,442
4,Werder Bremen,17,1,65,441
5,Hertha Berlin,13,1,61,433
6,Freiburg,16,0,76,417
7,Borussia M.Gladbach,14,0,70,396
8,Hamburger SV,13,0,79,385
9,Schalke 04,16,0,66,381
10,Mainz 05,13,0,73,380
11,Ingolstadt,12,0,80,376
12,Wolfsburg,13,1,69,370
13,Eintracht Frankfurt,12,0,71,370
14,Bayer Leverkusen,13,1,71,349
15,Hoffenheim,15,1,64,343
16,RB Leipzig,13,0,78,343
17,Borussia Dortmund,10,0,67,295
18,Bayern Munich,10,0,64,257
