Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,18.3,6.8,1.4,10.1,7.23
2. RB Leipzig,13,3.8,1.2,8.1,7.00
3. Borussia Dortmund,15.6,4.8,1.3,9.6,6.97
4. Hoffenheim,14.6,6.5,1.1,7.1,6.95
5. FC Koln,10.6,4.3,1,5.3,6.91
6. Schalke 04,13,4.5,0.6,7.9,6.86
7. Borussia M.Gladbach,12.1,4,0.7,7.4,6.83
8. Bayer Leverkusen,13.1,4.8,0.7,7.6,6.82
9. Werder Bremen,11.1,3.9,1,6.1,6.79
10. Hertha Berlin,10.2,4,0.7,5.4,6.75
11. Wolfsburg,12.7,5.4,0.8,6.5,6.73
12. Eintracht Frankfurt,11.2,4.1,0.6,6.6,6.73
13. Augsburg,10.9,5.5,0.4,5.1,6.72
14. Mainz 05,12.2,5.2,0.8,6.2,6.70
15. Ingolstadt,13.4,5.4,0.7,7.3,6.69
16. Freiburg,12,5.3,0.6,6.1,6.68
17. Hamburger SV,10.6,4.1,0.5,6,6.67
18. Darmstadt,10,4.1,0.6,5.3,6.58
