R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Borussia Dortmund,15,2,57,614
2,Bayern Munich,25,2,60,604
3,Bayer Leverkusen,21,1,63,567
4,RB Leipzig,19,1,52,496
5,Borussia M.Gladbach,17,2,54,434
6,Hoffenheim,17,1,57,432
7,Werder Bremen,18,1,59,392
8,Eintracht Frankfurt,26,0,66,372
9,Schalke 04,14,1,63,362
10,Freiburg,19,1,65,356
11,Wolfsburg,19,1,65,350
12,Paderborn,17,1,59,344
13,Fortuna Duesseldorf,21,1,69,334
14,FC Koln,21,1,68,333
15,Hertha Berlin,16,0,70,332
16,Mainz 05,18,1,60,310
17,Union Berlin,19,0,71,288
18,Augsburg,14,1,64,260
