R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Sunderland,12%,47%,42%
2,Wigan,11%,51%,37%
3,Newcastle United,10%,51%,40%
4,Aston Villa,9%,51%,41%
5,Bolton,9%,52%,40%
6,Birmingham,9%,49%,42%
7,West Bromwich Albion,9%,49%,41%
8,Arsenal,8%,50%,42%
9,Blackpool,8%,54%,38%
10,Stoke,8%,44%,48%
11,West Ham,7%,49%,44%
12,Blackburn,7%,47%,46%
13,Liverpool,6%,45%,49%
14,Everton,6%,46%,48%
15,Tottenham,6%,48%,46%
16,Chelsea,5%,44%,51%
17,Manchester United,5%,48%,47%
18,Fulham,5%,50%,44%
19,Manchester City,4%,46%,50%
20,Wolverhampton Wanderers,4%,53%,43%
