R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Stoke,13%,50%,36%
2,Wolverhampton Wanderers,11%,50%,39%
3,Newcastle United,10%,53%,38%
4,Blackpool,10%,43%,47%
5,Aston Villa,9%,52%,38%
6,Blackburn,9%,55%,36%
7,Arsenal,8%,57%,35%
8,Chelsea,8%,49%,43%
9,Birmingham,8%,45%,47%
10,Everton,7%,49%,44%
11,Liverpool,7%,51%,42%
12,West Bromwich Albion,7%,46%,48%
13,Bolton,7%,49%,43%
14,Manchester United,7%,50%,43%
15,Sunderland,5%,45%,50%
16,West Ham,5%,49%,46%
17,Tottenham,5%,43%,52%
18,Wigan,5%,46%,50%
19,Fulham,5%,46%,49%
20,Manchester City,5%,52%,43%
