R,Team,Left Side,Middle of the pitch,Right Side
1,Wolverhampton Wanderers,42%,26%,32%
2,Wigan,42%,27%,31%
3,Everton,39%,26%,35%
4,Chelsea,38%,29%,34%
5,Aston Villa,38%,28%,34%
6,Blackburn,38%,33%,28%
7,Tottenham,38%,28%,34%
8,Liverpool,37%,28%,36%
9,Norwich,37%,29%,34%
10,West Bromwich Albion,37%,29%,34%
11,Manchester City,36%,29%,35%
12,Newcastle United,34%,31%,35%
13,Sunderland,34%,28%,38%
14,Bolton,33%,30%,37%
15,Stoke,32%,26%,42%
16,Manchester United,32%,30%,39%
17,Swansea,31%,26%,42%
18,Arsenal,30%,31%,38%
19,Queens Park Rangers,30%,32%,38%
20,Fulham,27%,38%,34%
