R,Team,Left Side,Attempts from the middle,Right Side
1,Wigan,23%,62%,15%
2,Newcastle United,22%,60%,19%
3,Sunderland,21%,58%,21%
4,Arsenal,20%,63%,17%
5,Tottenham,20%,61%,19%
6,Southampton,19%,67%,15%
7,West Ham,19%,69%,13%
8,Everton,18%,69%,12%
9,Aston Villa,18%,66%,16%
10,Liverpool,18%,62%,20%
11,West Bromwich Albion,18%,65%,16%
12,Manchester United,17%,65%,19%
13,Reading,17%,69%,13%
14,Swansea,17%,66%,17%
15,Fulham,17%,67%,16%
16,Chelsea,16%,70%,15%
17,Queens Park Rangers,16%,61%,24%
18,Manchester City,15%,66%,19%
19,Norwich,15%,68%,17%
20,Stoke,13%,70%,17%
