R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Manchester City,21,3,52,533
2,Arsenal,23,5,46,494
3,Manchester United,24,2,80,485
4,Chelsea,18,2,61,476
5,Liverpool,17,3,57,457
6,Tottenham,20,2,63,450
7,Everton,18,2,70,432
8,Swansea,17,1,62,415
9,Southampton,25,1,73,410
10,Aston Villa,20,0,74,366
11,Stoke,24,0,65,345
12,Newcastle United,23,2,63,335
13,Hull,21,1,73,322
14,Sunderland,18,1,66,318
15,West Bromwich Albion,19,1,73,311
16,West Ham,26,1,69,293
17,Burnley,21,0,81,283
18,Queens Park Rangers,20,0,81,283
19,Leicester,24,1,73,282
20,Crystal Palace,22,1,69,251
