Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Arsenal,16.1,6,15.8,11,7.15
2. Manchester City,17.6,6,11.4,7.8,7.07
3. Chelsea,14.8,5.5,12.9,11.4,7.06
4. Manchester United,13.5,4.7,9.8,10.4,6.99
5. Southampton,13.4,4.4,7,10.4,6.91
6. Liverpool,15.5,5.1,11.5,12.3,6.90
7. Tottenham,13.9,4.5,10.9,10.1,6.89
8. Stoke,13.2,3.6,9.4,10.8,6.87
9. Swansea,11.2,3.9,9.2,12.2,6.86
10. West Ham,12.9,4,6.8,11,6.85
11. Leicester,12,3.6,9.2,9.2,6.84
12. Crystal Palace,11.6,3.7,9.4,11.4,6.83
13. Everton,12.7,4.4,10.3,11.8,6.82
14. Burnley,11.3,3.3,6.4,10.5,6.79
15. Queens Park Rangers,14.1,3.9,8.1,10.3,6.77
16. West Bromwich Albion,10.8,3.5,6.3,10.7,6.77
17. Hull,11.3,3.4,6.7,10.6,6.76
18. Sunderland,10.7,3.4,9,11.8,6.75
19. Newcastle United,12.3,3.8,11.7,11.6,6.74
20. Aston Villa,11,3.3,7.6,11.1,6.69
