R,Team,Own Third,Middle Third,Opposition Third
1,Newcastle United,31%,45%,24%
2,Crystal Palace,31%,41%,29%
3,Sunderland,30%,44%,25%
4,Everton,30%,43%,27%
5,Stoke,30%,46%,24%
6,Leicester,29%,43%,28%
7,Watford,29%,43%,27%
8,West Bromwich Albion,29%,42%,28%
9,Aston Villa,28%,47%,26%
10,West Ham,28%,44%,28%
11,Norwich,28%,44%,28%
12,Swansea,28%,47%,25%
13,Southampton,27%,44%,30%
14,Chelsea,27%,44%,30%
15,Tottenham,26%,44%,29%
16,Liverpool,26%,44%,30%
17,Bournemouth,26%,45%,28%
18,Arsenal,25%,44%,30%
19,Manchester United,24%,44%,32%
20,Manchester City,24%,46%,31%
