R,Team,Fouls,Unprofessional,Dive,Other
1,Watford,59,4,0,19
2,Fulham,58,5,0,9
3,Wolverhampton Wanderers,56,5,0,12
4,Burnley,56,5,0,15
5,Southampton,55,4,0,17
6,Manchester United,54,4,0,21
7,West Ham,53,0,0,7
8,Brighton,50,3,0,12
9,Arsenal,47,3,0,25
10,Huddersfield,46,2,0,12
11,Cardiff,46,4,0,17
12,Crystal Palace,44,4,0,13
13,Leicester,43,4,0,18
14,Everton,43,5,0,12
15,Bournemouth,42,6,0,13
16,Tottenham,41,6,0,13
17,Newcastle United,39,3,0,17
18,Liverpool,35,1,0,5
19,Chelsea,33,4,0,12
20,Manchester City,28,2,0,15
