Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Manchester City,6.3,13.7,9.5,8.6,2.6,7.09
2. Liverpool,8.1,16.1,8.3,8.3,2,7.01
3. Chelsea,9.2,16.3,9.3,8.9,2.2,6.89
4. Tottenham,12.1,16.5,8.6,9.9,1.9,6.86
5. Arsenal,13.1,16,10.8,10.8,2.3,6.79
6. Leicester,11.2,17.8,11.5,9.2,1.9,6.78
7. Crystal Palace,13.8,19.3,11.7,10.2,2.1,6.78
8. West Ham,13.9,19,12,8.7,1.9,6.77
9. Everton,10.6,18.4,11.9,11.4,1.8,6.77
10. Wolverhampton Wanderers,12.2,18.9,13.2,10.8,1.9,6.75
11. Newcastle United,12.9,18.8,13.3,11.1,1.6,6.74
12. Manchester United,13.1,15.3,9.3,11.4,2.4,6.74
13. Burnley,17.2,15.4,9.7,9.5,2.8,6.70
14. Southampton,13.7,18.4,14.4,11.1,1.6,6.68
15. Watford,12.9,17.3,11.3,11.4,2.3,6.68
16. Bournemouth,13.7,13.8,9.8,8.9,1.5,6.68
17. Cardiff,15,17.2,13.9,9.8,2,6.62
18. Brighton,15.3,17.9,12.2,12.2,2.4,6.61
19. Fulham,15.4,15.7,11.3,11.1,2.4,6.56
20. Huddersfield,13.7,18.6,14,11.1,1.7,6.47
