Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Manchester City,18,6.3,1.6,10.2,7.09
2. Liverpool,15.1,5.2,1.4,8.5,7.01
3. Chelsea,16,6,0.9,9.1,6.89
4. Tottenham,14.1,5.6,1.3,7.3,6.86
5. Arsenal,12.3,4.1,1.2,7,6.79
6. Crystal Palace,13,4.8,0.8,7.4,6.78
7. Leicester,13.6,5.7,0.9,6.9,6.78
8. West Ham,11.6,4.3,1,6.3,6.77
9. Everton,13.1,4.3,0.9,8,6.77
10. Wolverhampton Wanderers,12.6,4.7,1,6.8,6.75
11. Manchester United,13.8,5.7,1.1,7.1,6.74
12. Newcastle United,11.7,4.7,0.7,6.3,6.74
13. Burnley,9.5,2.8,1.6,5.1,6.70
14. Watford,11.5,4.1,0.7,6.7,6.68
15. Southampton,12.7,5.5,0.9,6.3,6.68
16. Bournemouth,11.7,4,0.9,6.8,6.68
17. Cardiff,11,4.4,1.1,5.5,6.62
18. Brighton,9.8,3.8,0.8,5.1,6.61
19. Fulham,11.9,5.5,0.8,5.7,6.56
20. Huddersfield,10.6,4.5,0.4,5.6,6.47
