R,Team,Left Side,Attempts from the middle,Right Side
1,Watford,24%,63%,14%
2,Manchester United,22%,63%,15%
3,Arsenal,21%,65%,14%
4,Everton,20%,67%,13%
5,Manchester City,19%,67%,14%
6,Norwich,19%,68%,13%
7,Brighton,19%,67%,14%
8,Chelsea,18%,69%,13%
9,Southampton,18%,72%,10%
10,Crystal Palace,18%,69%,13%
11,Burnley,18%,66%,16%
12,Newcastle United,17%,72%,12%
13,Wolverhampton Wanderers,17%,66%,17%
14,Liverpool,17%,67%,16%
15,Tottenham,17%,69%,14%
16,West Ham,16%,69%,15%
17,Bournemouth,16%,72%,12%
18,Aston Villa,15%,69%,16%
19,Sheffield United,15%,71%,14%
20,Leicester,14%,69%,17%
