R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Manchester City,61,3,13,5,1
2,Tottenham,49,5,7,5,2
3,Manchester United,47,6,7,10,3
4,Leicester,44,4,6,10,4
5,Liverpool,42,5,12,6,3
6,Arsenal,40,1,6,6,2
7,Leeds,38,7,11,4,2
8,West Ham,36,6,16,2,2
9,Chelsea,34,2,12,8,2
10,Aston Villa,32,4,11,5,3
11,Southampton,27,0,15,5,0
12,Everton,27,0,14,4,2
13,Brighton,26,0,7,6,1
14,Crystal Palace,26,3,7,3,2
15,Newcastle United,25,3,10,6,2
16,Burnley,20,1,8,3,1
17,West Bromwich Albion,20,2,7,4,2
18,Fulham,18,1,4,3,1
19,Wolverhampton Wanderers,18,2,10,4,2
20,Sheffield United,12,0,4,3,1
