R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Newcastle United,22,1,57,519
2,West Bromwich Albion,22,1,54,514
3,Crystal Palace,21,1,60,505
4,Sheffield United,19,1,64,503
5,West Ham,20,1,55,498
6,Everton,20,1,53,473
7,Burnley,21,1,66,461
8,Wolverhampton Wanderers,20,1,52,435
9,Fulham,19,1,60,426
10,Tottenham,20,0,56,417
11,Brighton,17,0,56,413
12,Arsenal,17,0,57,410
13,Aston Villa,21,0,56,387
14,Manchester United,16,0,55,387
15,Leicester,17,1,56,378
16,Southampton,18,1,59,378
17,Chelsea,14,0,55,349
18,Manchester City,11,0,53,333
19,Liverpool,14,1,66,324
20,Leeds,16,1,53,311
