Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Manchester City,83,15.8,462,60.8,89.4,12.8,7.01
2. Manchester United,73,13.8,641,54.5,84.8,14.5,6.85
3. Aston Villa,55,13.7,634,49.1,78.6,19.4,6.84
4. Chelsea,58,14.6,493,58.6,87.0,15.2,6.83
5. Liverpool,68,16,400,59.0,85.7,14.3,6.82
6. Tottenham,68,11.7,532,51.3,81.8,16.4,6.81
7. Leicester,68,12.8,610,53.2,82.1,16.2,6.80
8. Leeds,62,13.7,611,55.1,80.8,14.5,6.77
9. West Ham,62,12.3,483,44.5,77.8,19.9,6.77
10. Everton,47,10.5,592,47.3,81.4,17.7,6.73
11. Arsenal,55,12.1,475,52.7,85.0,13.5,6.69
12. Wolverhampton Wanderers,36,12.2,531,49.7,83.2,15.3,6.67
13. Brighton,40,12.8,456,50.7,81.3,14.2,6.65
14. Burnley,33,10.1,480,43.5,71.6,23.4,6.64
15. Fulham,27,11.6,673,50.0,81.2,17.2,6.63
16. Southampton,47,11.2,523,51.4,79.3,14.1,6.62
17. Newcastle United,46,10.4,613,41.6,76.0,17.1,6.62
18. Crystal Palace,41,9.2,542,42.9,76.1,18.3,6.61
19. West Bromwich Albion,35,8.9,514,41.0,72.2,19.1,6.51
20. Sheffield United,20,8.5,733,43.0,76.9,19.1,6.46
