R,Team,Left Side,Attempts from the middle,Right Side
1,Mallorca,23%,59%,18%
2,Racing Santander,22%,62%,16%
3,Osasuna,22%,58%,20%
4,Real Madrid,21%,61%,18%
5,Athletic Bilbao,21%,61%,19%
6,Real Valladolid,21%,59%,20%
7,Barcelona,21%,67%,13%
8,Villarreal,21%,67%,13%
9,Valencia,20%,59%,21%
10,Almeria,20%,63%,17%
11,Getafe,20%,62%,19%
12,Tenerife,20%,62%,17%
13,Sevilla,19%,66%,14%
14,Espanyol,19%,60%,20%
15,Xerez,19%,61%,20%
16,Real Zaragoza,18%,66%,17%
17,Deportivo La Coruna,18%,62%,20%
18,Atletico Madrid,16%,62%,22%
19,Sporting Gijon,16%,66%,18%
20,Malaga,15%,68%,17%
