R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Real Zaragoza,8%,52%,40%
2,Malaga,8%,49%,44%
3,Racing Santander,7%,47%,46%
4,Atletico Madrid,7%,54%,39%
5,Tenerife,7%,53%,40%
6,Sporting Gijon,7%,53%,40%
7,Mallorca,6%,54%,40%
8,Valencia,6%,49%,46%
9,Osasuna,6%,46%,47%
10,Xerez,6%,48%,46%
11,Villarreal,6%,53%,41%
12,Real Madrid,5%,48%,46%
13,Athletic Bilbao,5%,42%,53%
14,Real Valladolid,5%,53%,41%
15,Deportivo La Coruna,5%,47%,49%
16,Sevilla,5%,54%,41%
17,Espanyol,5%,49%,46%
18,Almeria,5%,46%,49%
19,Getafe,5%,51%,44%
20,Barcelona,4%,51%,45%
