R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Malaga,8%,49%,43%
2,Real Madrid,7%,52%,42%
3,Athletic Bilbao,7%,53%,40%
4,Barcelona,7%,57%,36%
5,Real Sociedad,7%,51%,41%
6,Osasuna,7%,49%,43%
7,Hercules,7%,52%,41%
8,Almeria,7%,49%,43%
9,Valencia,6%,55%,39%
10,Sevilla,6%,55%,39%
11,Deportivo La Coruna,6%,47%,47%
12,Sporting Gijon,6%,49%,44%
13,Levante,6%,51%,43%
14,Mallorca,5%,48%,47%
15,Atletico Madrid,5%,48%,46%
16,Getafe,5%,46%,49%
17,Racing Santander,4%,46%,50%
18,Real Zaragoza,4%,44%,53%
19,Espanyol,4%,48%,48%
20,Villarreal,4%,51%,45%
