R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,18,12,55,694
2,Real Madrid,22,8,60,432
3,Villarreal,14,7,56,420
4,Valencia,25,6,67,412
5,Sevilla,27,4,62,399
6,Espanyol,20,5,69,381
7,Getafe,25,4,64,351
8,Hercules,26,3,73,351
9,Atletico Madrid,20,6,71,347
10,Racing Santander,19,6,66,347
11,Malaga,22,4,64,339
12,Mallorca,23,8,70,321
13,Deportivo La Coruna,21,3,68,317
14,Athletic Bilbao,26,3,64,308
15,Real Zaragoza,18,5,59,307
16,Osasuna,26,3,67,296
17,Almeria,23,3,76,291
18,Real Sociedad,28,2,70,290
19,Sporting Gijon,20,4,66,290
20,Levante,19,4,62,275
