R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,78,6,18,10,2
2,Real Madrid,77,15,16,12,1
3,Valencia,37,4,11,3,4
4,Sevilla,31,6,9,1,1
5,Atletico Madrid,31,3,12,5,2
6,Espanyol,31,0,13,1,1
7,Real Sociedad,30,6,9,0,1
8,Athletic Bilbao,29,2,17,1,0
9,Malaga,28,2,20,1,3
10,Real Betis,26,4,14,3,0
11,Rayo Vallecano,25,4,18,5,1
12,Getafe,23,1,9,3,4
13,Osasuna,22,1,19,1,1
14,Real Zaragoza,20,2,9,4,1
15,Sporting Gijon,20,4,14,3,1
16,Villarreal,20,3,9,6,1
17,Levante,19,5,22,8,0
18,Mallorca,17,2,15,5,3
19,Granada,14,7,10,4,0
20,Racing Santander,12,5,6,4,1
