R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Levante,29,2,69,419
2,Real Valladolid,21,2,67,395
3,Almeria,26,2,62,393
4,Osasuna,26,3,66,391
5,Getafe,24,2,63,368
6,Real Sociedad,25,2,59,361
7,Sevilla,21,1,64,360
8,Espanyol,21,1,60,359
9,Atletico Madrid,17,1,73,359
10,Elche,22,2,59,348
11,Granada,22,2,63,347
12,Malaga,21,2,67,346
13,Real Betis,23,3,63,343
14,Celta Vigo,22,2,61,322
15,Villarreal,20,1,58,322
16,Real Madrid,17,2,57,321
17,Valencia,21,2,59,320
18,Athletic Bilbao,17,2,67,316
19,Rayo Vallecano,17,2,67,257
20,Barcelona,16,1,53,253
