Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Barcelona,16.4,5.2,1.4,9.8,7.28
2. Real Madrid,18.1,6.9,1.2,9.9,7.24
3. Atletico Madrid,11.5,3.7,1.3,6.5,7.01
4. Valencia,11.6,3.9,0.9,6.8,6.99
5. Sevilla,12.2,4.1,1.4,6.6,6.89
6. Villarreal,13.3,5.1,1.1,7.1,6.88
7. Celta Vigo,13.1,4.6,0.9,7.6,6.82
8. Athletic Bilbao,11.7,4.8,1,5.8,6.81
9. Real Sociedad,11.3,5.4,0.4,5.5,6.79
10. Espanyol,9.7,3.7,0.8,5.2,6.73
11. Rayo Vallecano,12.9,6.1,0.8,6,6.71
12. Malaga,12.1,5.9,0.9,5.3,6.70
13. Deportivo La Coruna,10.5,4.2,0.7,5.6,6.67
14. Getafe,11.1,5.7,0.6,4.7,6.65
15. Almeria,10.4,4.5,0.7,5.2,6.64
16. Eibar,9.3,4.7,0.5,4.2,6.62
17. Cordoba,10.2,5,0.7,4.5,6.61
18. Granada,10.6,5.2,0.6,4.7,6.61
19. Levante,10.6,4.6,0.6,5.4,6.60
20. Elche,10.7,5.2,0.5,5,6.59
