R,Team,Left Side,Middle of the pitch,Right Side
1,Eibar,40%,24%,37%
2,Getafe,39%,24%,37%
3,Elche,39%,25%,36%
4,Real Madrid,38%,28%,34%
5,Valencia,38%,27%,35%
6,Rayo Vallecano,38%,24%,37%
7,Malaga,38%,24%,38%
8,Granada,38%,25%,37%
9,Celta Vigo,37%,29%,34%
10,Cordoba,37%,25%,38%
11,Real Sociedad,37%,21%,42%
12,Levante,36%,24%,40%
13,Espanyol,35%,27%,39%
14,Villarreal,35%,30%,35%
15,Atletico Madrid,34%,23%,43%
16,Sevilla,34%,29%,36%
17,Barcelona,34%,32%,34%
18,Almeria,34%,27%,39%
19,Deportivo La Coruna,33%,26%,41%
20,Athletic Bilbao,32%,29%,39%
