Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Real Madrid,110,18.7,685,56.0,86.7,11.3,7.25
2. Barcelona,111,15.9,661,62.9,86.8,9.9,7.23
3. Atletico Madrid,63,12.5,883,48.7,77.9,16.5,7.09
4. Athletic Bilbao,59,12,836,49.3,74.4,21.2,6.84
5. Real Sociedad,45,12,1045,51.6,77.0,17.8,6.83
6. Valencia,45,10.5,1037,50.2,78.8,15.7,6.79
7. Villarreal,43,9,964,47.1,76.2,13.2,6.79
8. Celta Vigo,53,11.7,1097,55.0,79.5,15.2,6.78
9. Malaga,40,11.9,1045,48.6,73.2,17.1,6.77
10. Las Palmas,44,11,954,53.9,81.3,14.1,6.77
11. Sevilla,51,12.1,958,49.6,77.3,16.3,6.76
12. Real Betis,34,10.4,1055,47.7,74.6,15.2,6.73
13. Deportivo La Coruna,42,12,804,47.7,75.0,15.1,6.71
14. Eibar,48,11,1034,46.1,68.6,18.8,6.69
15. Rayo Vallecano,52,13.2,10810,53.8,77.1,17.1,6.67
16. Sporting Gijon,40,9.8,986,44.5,72.1,13.9,6.65
17. Granada,46,11.3,1347,46.3,73.2,14.6,6.63
18. Espanyol,41,10.3,1225,47.2,74.9,15.7,6.62
19. Getafe,36,11.5,1246,47.0,75.2,12.1,6.60
20. Levante,37,11.4,1257,47.0,73.3,18.7,6.60
