R,Team,Fouls,Unprofessional,Dive,Other
1,Valencia,90,5,0,22
2,Sporting Gijon,87,10,0,23
3,Granada,86,5,0,28
4,Real Betis,83,5,0,22
5,Malaga,81,12,0,27
6,Deportivo Alaves,79,7,0,38
7,Osasuna,78,3,0,21
8,Celta Vigo,77,8,0,26
9,Leganes,76,7,0,26
10,Sevilla,74,12,0,24
11,Las Palmas,70,5,0,34
12,Real Sociedad,68,5,0,17
13,Espanyol,67,3,0,14
14,Eibar,65,4,0,33
15,Deportivo La Coruna,63,7,0,29
16,Atletico Madrid,62,1,0,23
17,Athletic Bilbao,57,9,0,25
18,Villarreal,57,2,0,35
19,Real Madrid,48,9,0,20
20,Barcelona,44,4,0,27
