Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Barcelona,17.1,7.1,14.8,15.1,7.19
2. Real Madrid,17.4,7,11.7,14.1,7.14
3. Atletico Madrid,13.3,5.2,10.7,12.4,7.02
4. Sevilla,12.8,5.2,9.6,13.7,6.84
5. Villarreal,11.3,4.4,7.1,12.8,6.84
6. Athletic Bilbao,12.8,4.9,9.1,13.8,6.80
7. Valencia,11.8,4.5,9.7,14.8,6.76
8. Deportivo Alaves,10.4,3.5,8.7,12.6,6.76
9. Real Sociedad,13,4.4,8.2,15.3,6.76
10. Eibar,11.9,4.7,6.8,9.8,6.75
11. Espanyol,9,3.4,8.4,12.6,6.74
12. Malaga,12.9,4.4,7.4,13.7,6.70
13. Deportivo La Coruna,12.1,3.8,7.9,13.5,6.69
14. Real Betis,11.6,4,8.8,14.9,6.68
15. Celta Vigo,10.6,3.9,8.4,13.4,6.66
16. Las Palmas,11.6,4.8,10.8,16.5,6.63
17. Leganes,10.7,3.5,6.5,12.3,6.62
18. Sporting Gijon,9.9,3.6,7.3,12.9,6.58
19. Osasuna,10.3,3.8,8.5,10.7,6.51
20. Granada,10.1,3.3,10.8,11.5,6.50
