R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Las Palmas,51,6,11,5,1
2,Deportivo La Coruna,50,1,18,4,3
3,Malaga,43,3,9,6,0
4,Celta Vigo,41,0,14,4,1
5,Real Betis,40,3,11,3,4
6,Girona,40,2,10,4,3
7,Real Sociedad,38,2,12,6,1
8,Levante,37,1,12,5,3
9,Sevilla,36,5,11,5,1
10,Eibar,33,4,6,4,3
11,Athletic Bilbao,32,2,9,3,3
12,Leganes,32,3,10,6,0
13,Deportivo Alaves,29,0,12,7,2
14,Villarreal,28,4,13,5,0
15,Real Madrid,27,2,11,2,2
16,Espanyol,26,1,9,4,2
17,Valencia,25,0,10,3,0
18,Getafe,25,0,6,2,0
19,Barcelona,24,2,1,2,0
20,Atletico Madrid,14,0,6,1,1
