Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Real Madrid,8.9,15.4,10,12.8,2.2,6.97
2. Barcelona,9.8,14.1,9,10.9,2.2,6.95
3. Sevilla,10.2,15.4,9.1,13.7,2.4,6.80
4. Atletico Madrid,10.9,17.3,10.8,13.5,3.1,6.78
5. Villarreal,12.7,14.6,8.9,12.7,1.9,6.75
6. Real Sociedad,10.4,14.5,8.4,13.2,2.1,6.69
7. Athletic Bilbao,10.3,14,9.8,13.7,2.2,6.67
8. Granada,11.8,15.4,10.1,15.5,1.8,6.65
9. Real Betis,11.8,13.2,7.9,12.4,2.2,6.61
10. Celta Vigo,11.7,15.5,10.4,12.4,1.8,6.61
11. Osasuna,11.2,16.1,11,14.5,2.1,6.61
12. Getafe,7.4,15.3,9.7,18.6,2.8,6.61
13. Valencia,15.1,13.2,9.5,10.9,2.6,6.60
14. Levante,15.2,13.3,8.7,12.3,2.1,6.60
15. Eibar,10,14.9,11.3,14.2,1.9,6.58
16. Real Valladolid,12.4,14.9,10.3,12.7,2.1,6.57
17. Leganes,9.2,15.8,11,15.6,2,6.55
18. Mallorca,13.1,14.3,9.9,13.4,1.5,6.52
19. Deportivo Alaves,12.4,15.2,10.3,16.3,1.6,6.52
20. Espanyol,11.7,16.5,9.5,15.3,1.7,6.47
