R,Team,Left Side,Attempts from the middle,Right Side
1,Granada,23%,60%,17%
2,Eibar,22%,65%,13%
3,Real Betis,21%,56%,23%
4,Atletico Madrid,21%,64%,14%
5,Real Madrid,20%,69%,11%
6,Valencia,20%,65%,15%
7,SD Huesca,20%,60%,19%
8,Athletic Bilbao,19%,65%,16%
9,Real Valladolid,19%,65%,16%
10,Cadiz,19%,69%,12%
11,Celta Vigo,18%,66%,15%
12,Deportivo Alaves,18%,71%,11%
13,Sevilla,18%,65%,18%
14,Barcelona,17%,68%,15%
15,Villarreal,17%,66%,17%
16,Levante,17%,66%,17%
17,Real Sociedad,16%,68%,16%
18,Elche,16%,71%,14%
19,Osasuna,15%,73%,12%
20,Getafe,12%,70%,18%
