R,Team,Own Third,Middle Third,Opposition Third
1,Elche,34%,45%,21%
2,Valencia,33%,43%,25%
3,SD Huesca,31%,43%,25%
4,Cadiz,31%,44%,25%
5,Real Valladolid,30%,44%,27%
6,Celta Vigo,30%,45%,24%
7,Levante,30%,42%,27%
8,Deportivo Alaves,29%,45%,25%
9,Granada,29%,44%,27%
10,Sevilla,28%,44%,28%
11,Villarreal,28%,44%,27%
12,Real Madrid,27%,42%,31%
13,Real Betis,27%,45%,28%
14,Osasuna,27%,44%,28%
15,Real Sociedad,26%,44%,30%
16,Atletico Madrid,26%,46%,28%
17,Athletic Bilbao,25%,45%,30%
18,Getafe,23%,44%,33%
19,Barcelona,23%,43%,33%
20,Eibar,23%,41%,36%
