R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Grenoble,8%,48%,44%
2,Sochaux,7%,43%,49%
3,Saint-Etienne,7%,44%,49%
4,Auxerre,7%,49%,44%
5,Valenciennes,7%,49%,44%
6,Le Mans,7%,44%,49%
7,Toulouse,6%,45%,49%
8,Lyon,6%,47%,47%
9,Lens,6%,46%,47%
10,Rennes,6%,50%,44%
11,Nice,6%,48%,46%
12,Nancy,5%,46%,49%
13,Lorient,5%,45%,50%
14,Montpellier,5%,51%,44%
15,Marseille,5%,49%,46%
16,Bordeaux,5%,49%,46%
17,Monaco,5%,44%,51%
18,Boulogne,5%,50%,45%
19,Paris Saint-Germain,4%,42%,54%
20,Lille,4%,42%,54%
