R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Lille,43,11,10,2,2
2,Marseille,37,3,19,2,1
3,Sochaux,35,7,13,3,2
4,Lyon,35,6,15,2,3
5,Valenciennes,33,5,6,1,0
6,Paris Saint-Germain,31,1,16,3,5
7,Saint-Etienne,29,3,8,4,2
8,Lorient,29,6,7,4,0
9,Caen,28,10,7,1,0
10,Auxerre,28,5,9,2,1
11,Rennes,24,2,6,5,1
12,Nancy,23,2,13,2,3
13,Lens,17,2,12,1,3
14,Nice,16,3,10,2,2
15,Brest,16,3,12,5,0
16,Toulouse,15,5,12,4,2
17,Monaco,15,5,12,4,0
18,Bordeaux,15,1,20,5,2
19,Montpellier,13,3,13,3,0
20,Arles-Avignon,12,3,5,1,0
