R,Team,Left Side,Middle of the pitch,Right Side
1,Sochaux,40%,23%,37%
2,Saint-Etienne,39%,25%,35%
3,Toulouse,38%,23%,40%
4,Lyon,37%,27%,36%
5,Marseille,37%,28%,35%
6,Bordeaux,37%,26%,37%
7,Lens,37%,23%,40%
8,Auxerre,37%,26%,37%
9,Montpellier,36%,28%,36%
10,Nice,36%,27%,37%
11,Valenciennes,36%,25%,39%
12,Monaco,35%,29%,36%
13,Caen,35%,27%,38%
14,Brest,35%,26%,40%
15,Nancy,34%,29%,38%
16,Lille,34%,24%,42%
17,Arles-Avignon,34%,29%,37%
18,Lorient,33%,27%,41%
19,Paris Saint-Germain,33%,33%,35%
20,Rennes,32%,28%,41%
