R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,19,3,55,477
2,Lille,23,4,60,451
3,Lyon,21,6,59,408
4,Saint-Etienne,26,2,63,386
5,Lorient,22,1,57,384
6,Nice,22,2,60,382
7,Toulouse,24,1,57,368
8,Montpellier,21,2,62,368
9,Marseille,26,2,60,361
10,Bordeaux,26,1,68,361
11,Troyes,18,1,60,330
12,Nancy,21,2,61,329
13,AC Ajaccio,18,2,60,323
14,Reims,23,1,60,315
15,Rennes,18,3,62,309
16,Brest,17,1,58,309
17,Sochaux,18,1,62,307
18,Valenciennes,24,0,58,301
19,Thonon Evian Grand Geneve,19,1,72,291
20,SC Bastia,19,4,59,270
