Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Paris Saint-Germain,15.7,4.9,0.1,10.6,7.10
2. Monaco,14,6.2,0,7.8,7.01
3. Lille,13.1,6,0,7,6.96
4. Saint-Etienne,12.9,5.4,0,7.5,6.95
5. Marseille,13.7,5.9,0,7.8,6.91
6. Bordeaux,12,5.3,0,6.7,6.90
7. Lyon,13,6.4,0,6.6,6.87
8. Reims,11.6,5.2,0.1,6.3,6.84
9. Toulouse,11.6,4.1,0,7.4,6.84
10. Rennes,10.4,4.2,0,6.1,6.81
11. Nantes,10.8,4.4,0,6.4,6.81
12. Montpellier,11.6,5,0,6.6,6.81
13. Lorient,11.7,5.1,0.1,6.5,6.75
14. Thonon Evian Grand Geneve,10.7,4.7,0,6,6.75
15. Guingamp,11.6,4.3,0.1,7.2,6.74
16. Nice,9.7,4.1,0,5.6,6.73
17. Sochaux,11.3,5,0,6.3,6.70
18. Valenciennes,11.2,5,0.1,6.1,6.68
19. SC Bastia,10.5,5,0,5.5,6.67
20. AC Ajaccio,8.8,4.3,0.1,4.5,6.62
