R,Team,Own Third,Middle Third,Opposition Third
1,Rennes,31%,46%,24%
2,AC Ajaccio,30%,45%,26%
3,Guingamp,29%,44%,27%
4,Reims,29%,44%,26%
5,Nice,29%,48%,24%
6,Nantes,28%,45%,27%
7,Sochaux,27%,44%,29%
8,Toulouse,27%,44%,28%
9,Marseille,27%,43%,29%
10,Bordeaux,27%,46%,28%
11,Valenciennes,27%,45%,27%
12,Thonon Evian Grand Geneve,27%,46%,27%
13,Saint-Etienne,26%,46%,27%
14,Lorient,26%,46%,28%
15,Paris Saint-Germain,26%,47%,26%
16,SC Bastia,26%,48%,26%
17,Montpellier,26%,47%,27%
18,Lille,26%,46%,28%
19,Lyon,25%,47%,28%
20,Monaco,25%,46%,29%
