R,Team,Left Side,Attempts from the middle,Right Side
1,Caen,24%,59%,17%
2,Toulouse,22%,62%,16%
3,Lille,22%,62%,16%
4,Lorient,21%,60%,20%
5,Monaco,20%,66%,14%
6,Metz,20%,63%,16%
7,Thonon Evian Grand Geneve,20%,64%,15%
8,Bordeaux,19%,61%,19%
9,Paris Saint-Germain,19%,66%,15%
10,Rennes,19%,63%,18%
11,Nantes,19%,60%,21%
12,Lyon,18%,63%,19%
13,Marseille,17%,65%,17%
14,Lens,17%,64%,19%
15,SC Bastia,17%,62%,22%
16,Nice,17%,63%,21%
17,Guingamp,17%,64%,19%
18,Reims,17%,67%,16%
19,Saint-Etienne,15%,64%,21%
20,Montpellier,15%,63%,21%
