R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Reims,40,2,18,4,2
2,Toulouse,38,4,13,7,2
3,Metz,38,3,12,5,3
4,Guingamp,38,1,10,5,1
5,Lens,37,4,6,9,1
6,Thonon Evian Grand Geneve,37,2,13,7,3
7,Nice,34,3,8,6,2
8,Lorient,31,5,7,6,1
9,Marseille,30,1,5,4,0
10,Montpellier,28,1,7,3,0
11,Caen,27,1,13,12,2
12,Nantes,25,2,8,3,2
13,Bordeaux,25,3,8,6,2
14,SC Bastia,24,3,12,4,3
15,Rennes,22,5,9,4,2
16,Lille,22,5,12,2,1
17,Saint-Etienne,19,2,3,4,2
18,Paris Saint-Germain,17,2,11,3,3
19,Lyon,15,1,11,5,1
20,Monaco,14,4,3,3,2
