Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Paris Saint-Germain,12.7,5.8,11.7,14.1,7.09
2. Marseille,14.8,5.1,13.8,14.7,7.03
3. Lyon,13.6,5.7,10.9,14.2,6.98
4. Monaco,11.9,4.3,11.2,13.5,6.97
5. Saint-Etienne,11.7,4,8.2,12.4,6.90
6. Montpellier,10.4,3.7,9.2,16.2,6.90
7. Caen,12.1,4.1,9.7,10.5,6.87
8. Lille,12.2,3.9,9.5,16.3,6.83
9. Lorient,12.8,4.6,10.2,11.7,6.81
10. Bordeaux,12.8,4.2,7.1,14,6.80
11. Nantes,11.2,3.6,9.9,10.2,6.79
12. Nice,11,3.7,8.3,14.2,6.79
13. Rennes,9.6,3.4,6.7,10.8,6.75
14. Toulouse,11.3,3.4,8.8,13.7,6.74
15. SC Bastia,8.4,3.1,7.1,12.9,6.74
16. Guingamp,9.4,3.7,6.6,14.3,6.71
17. Reims,11.6,3.6,6.6,12.9,6.71
18. Metz,11.8,4,6.9,10.5,6.70
19. Lens,10.6,3.3,7.9,10.9,6.67
20. Thonon Evian Grand Geneve,8.8,2.8,7.1,11.7,6.67
