R,Team,Left Side,Attempts from the middle,Right Side
1,Lyon,26%,56%,18%
2,GFC Ajaccio,21%,61%,17%
3,Lille,21%,63%,16%
4,Monaco,20%,63%,17%
5,Marseille,20%,64%,17%
6,Guingamp,19%,63%,19%
7,Rennes,18%,64%,18%
8,Bordeaux,18%,65%,17%
9,Paris Saint-Germain,18%,63%,19%
10,Montpellier,18%,60%,21%
11,SC Bastia,18%,66%,17%
12,Reims,18%,63%,19%
13,Lorient,17%,64%,18%
14,Troyes,17%,66%,17%
15,Nantes,17%,65%,18%
16,Nice,17%,65%,18%
17,Angers,17%,62%,21%
18,Saint-Etienne,16%,63%,20%
19,Toulouse,16%,67%,16%
20,Caen,16%,67%,17%
