R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Paris Saint-Germain,11%,60%,30%
2,Monaco,9%,55%,36%
3,Montpellier,8%,50%,42%
4,Bordeaux,8%,49%,44%
5,Reims,7%,54%,39%
6,Saint-Etienne,6%,47%,47%
7,Lorient,6%,52%,43%
8,Lyon,6%,55%,39%
9,Rennes,6%,53%,40%
10,Toulouse,6%,58%,36%
11,Caen,6%,48%,45%
12,Nice,6%,50%,43%
13,Lille,6%,51%,43%
14,Marseille,5%,58%,38%
15,Nantes,5%,50%,45%
16,Guingamp,5%,54%,41%
17,Angers,5%,49%,46%
18,GFC Ajaccio,4%,50%,46%
19,SC Bastia,3%,48%,49%
20,Troyes,2%,49%,48%
