Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Paris Saint-Germain,9.6,20.3,18.7,10.4,3.8,7.27
2. Lyon,9.4,21.4,16,13.4,2.4,6.96
3. Lille,10.2,19.8,19.1,15.1,1.9,6.90
4. Nice,11.2,20.3,18.1,11.9,1.8,6.90
5. Monaco,12.5,18.7,18.4,14.3,2.3,6.85
6. Bordeaux,10.7,22.4,19.8,12.9,2.5,6.85
7. Marseille,11,19.7,19.1,13.5,2.4,6.84
8. Montpellier,11,18.3,20.8,12.6,1.9,6.84
9. Rennes,12.3,20.6,18.3,12.2,2.4,6.80
10. Caen,12.4,21.8,17.5,12.2,2.3,6.78
11. Guingamp,12.6,19.7,18.3,13.4,2.1,6.77
12. Toulouse,10.9,23.6,19.4,14.1,2.3,6.76
13. Nantes,10.5,21.4,16.2,15.9,2.3,6.76
14. Saint-Etienne,11.5,20.4,16.7,15.6,2.3,6.75
15. Lorient,13.4,16.4,22,12.1,1.9,6.75
16. Angers,11.1,19.3,15.9,13.7,1.1,6.74
17. SC Bastia,11.3,18.8,17.4,14,2,6.72
18. Reims,11.8,18.1,21.1,13.6,1.7,6.71
19. GFC Ajaccio,10.8,19.7,21.6,15.3,1.9,6.67
20. Troyes,16.5,20.7,19.6,11.5,1.5,6.58
