R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Angers,17,1,55,480
2,Reims,20,1,54,463
3,Lorient,17,0,62,458
4,Nantes,17,0,66,455
5,Nimes,21,1,59,453
6,Dijon,21,1,59,450
7,Strasbourg,18,1,54,447
8,Metz,20,1,54,441
9,Montpellier,20,1,55,432
10,Brest,20,1,60,432
11,Bordeaux,19,0,58,421
12,Lille,17,0,61,398
13,Saint-Etienne,17,1,61,395
14,Nice,20,1,57,383
15,Lens,17,1,59,380
16,Lyon,17,0,57,373
17,Marseille,19,1,56,366
18,Monaco,14,0,61,363
19,Rennes,14,1,58,341
20,Paris Saint-Germain,14,1,54,321
