R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Novara,43,4,12,3,3
2,Palermo FC,38,4,12,8,0
3,Genoa,35,10,15,8,1
4,Inter,33,7,8,7,0
5,Parma Calcio 1913,33,8,9,3,0
6,Napoli,30,5,9,1,1
7,Lecce,29,4,17,5,1
8,Catania,28,10,8,4,2
9,Fiorentina,26,3,7,7,0
10,Roma,26,9,11,8,0
11,Atalanta,26,3,7,7,0
12,Cesena,24,6,18,9,3
13,Robur Siena,22,3,11,7,2
14,Lazio,21,6,14,5,1
15,Chievo,21,3,14,5,2
16,Udinese,20,4,6,4,1
17,Bologna,19,4,11,6,3
18,Cagliari,19,4,15,5,3
19,AC Milan,18,6,6,3,0
20,Juventus,14,1,3,1,1
