Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Juventus,71,18.4,771,55.4,85.8,12.6,7.14
2. Napoli,73,15.2,901,53.4,83.0,15.5,7.10
3. Fiorentina,72,16.3,913,55.0,84.9,14.2,7.04
4. AC Milan,67,16.7,918,55.7,85.5,15.6,7.03
5. Roma,68,16.7,868,53.4,83.2,13,6.98
6. Udinese,59,11.8,826,48.5,76.7,15.4,6.94
7. Inter,55,14.5,834,51.8,83.9,15.1,6.93
8. Lazio,51,13.6,798,50.4,80.9,19.6,6.93
9. Parma Calcio 1913,45,14.2,1063,50.2,80.9,16.5,6.91
10. Catania,50,12.5,918,47.4,78.3,15.8,6.91
11. Bologna,46,13.3,1054,49.0,78.5,16.1,6.84
12. Cagliari,43,12.5,1099,50.4,80.6,18.9,6.84
13. Genoa,38,12,994,47.4,76.9,19.2,6.81
14. Torino,46,11.3,806,49.6,82.3,16.7,6.80
15. Sampdoria,43,11.2,8710,47.2,79.0,15,6.79
16. Chievo,39,10,974,46.9,78.2,18,6.78
17. Palermo FC,34,13.5,908,50.2,80.9,15.9,6.78
18. Atalanta,39,11,11013,47.7,77.9,19,6.77
19. Robur Siena,35,9.1,946,44.4,77.2,14.7,6.68
20. Pescara,27,10.6,999,46.0,79.8,14.4,6.60
