R,Team,Own Third,Middle Third,Opposition Third
1,Torino,31%,46%,22%
2,Verona,30%,44%,25%
3,Genoa,30%,45%,25%
4,Atalanta,29%,44%,27%
5,Bologna,28%,46%,26%
6,Sampdoria,28%,43%,28%
7,Sassuolo,28%,46%,26%
8,Livorno,28%,45%,26%
9,Cagliari,27%,47%,25%
10,Chievo,27%,46%,26%
11,Catania,27%,45%,28%
12,Fiorentina,26%,45%,30%
13,Inter,26%,45%,30%
14,Parma Calcio 1913,26%,47%,28%
15,Juventus,26%,45%,30%
16,Roma,26%,46%,28%
17,Udinese,26%,47%,27%
18,AC Milan,25%,45%,30%
19,Lazio,24%,48%,27%
20,Napoli,24%,48%,28%
