R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Crotone,24,1,69,485
2,Verona,25,2,58,468
3,Chievo,23,1,67,451
4,Sassuolo,23,1,67,451
5,Genoa,19,1,63,445
6,Udinese,21,1,65,441
7,SPAL 2013,21,1,56,431
8,Benevento,21,2,56,429
9,Cagliari,21,1,69,426
10,Bologna,24,1,58,423
11,Lazio,16,1,60,421
12,Juventus,16,0,55,376
13,AC Milan,17,1,57,364
14,Fiorentina,19,1,65,363
15,Torino,21,1,64,362
16,Inter,19,1,66,354
17,Sampdoria,21,1,71,353
18,Atalanta,17,1,63,349
19,Napoli,12,1,71,342
20,Roma,16,2,65,314
