Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Juventus,14.6,6.7,0.9,7,7.05
2. Roma,16.9,6.9,1.3,8.7,6.96
3. Lazio,14.6,5.8,1.1,7.7,6.95
4. Napoli,17.3,7.4,1.2,8.7,6.94
5. Inter,15.1,5.8,1.1,8.1,6.92
6. Atalanta,15.2,5.2,1.2,8.8,6.88
7. Fiorentina,16.3,7.4,0.6,8.3,6.82
8. Torino,11.9,4.8,0.9,6.2,6.80
9. AC Milan,16.1,7.8,1.2,7,6.76
10. Sampdoria,12.7,5.2,1.1,6.4,6.70
11. Udinese,11.6,5,0.6,6,6.65
12. SPAL 2013,9.8,4.5,0.8,4.6,6.64
13. Bologna,9.4,4.2,0.8,4.5,6.64
14. Genoa,11,3.9,0.7,6.4,6.64
15. Crotone,10,4.6,0.7,4.8,6.61
16. Chievo,10.3,4.2,0.5,5.6,6.61
17. Sassuolo,13.1,5.7,0.8,6.6,6.60
18. Cagliari,10,3.8,0.7,5.5,6.59
19. Verona,9.5,4.7,0.4,4.4,6.55
20. Benevento,12.4,6,0.7,5.7,6.49
