R,Team,Left Side,Attempts from the middle,Right Side
1,Bologna,22%,62%,16%
2,Lazio,22%,61%,16%
3,Genoa,22%,63%,16%
4,Parma Calcio 1913,22%,61%,17%
5,Juventus,21%,59%,20%
6,Frosinone,21%,62%,17%
7,Inter,20%,62%,19%
8,AC Milan,20%,61%,19%
9,Chievo,20%,63%,17%
10,Roma,19%,64%,17%
11,Atalanta,19%,64%,16%
12,Napoli,18%,67%,15%
13,SPAL 2013,18%,64%,18%
14,Torino,17%,66%,17%
15,Fiorentina,17%,64%,19%
16,Empoli,17%,66%,17%
17,Sampdoria,16%,63%,20%
18,Cagliari,15%,65%,20%
19,Udinese,15%,69%,15%
20,Sassuolo,15%,68%,17%
