R,Team,Left Side,Attempts from the middle,Right Side
1,Napoli,25%,57%,18%
2,Lazio,22%,62%,16%
3,Parma Calcio 1913,22%,65%,13%
4,Juventus,21%,64%,15%
5,SPAL 2013,21%,63%,16%
6,Torino,20%,65%,15%
7,Fiorentina,20%,61%,19%
8,Udinese,20%,63%,17%
9,Empoli,20%,62%,18%
10,Genoa,19%,66%,15%
11,AC Milan,19%,56%,25%
12,Sassuolo,19%,58%,23%
13,Inter,18%,68%,14%
14,Sampdoria,17%,67%,16%
15,Roma,16%,67%,18%
16,Chievo,16%,66%,18%
17,Atalanta,16%,64%,20%
18,Bologna,15%,68%,17%
19,Cagliari,15%,72%,13%
20,Frosinone,14%,67%,19%
